4818,19003
18,12842
16803,19754
16115,7385
5386,16954
8106,12075
730,7945
2424,18159
14249,6116
16865,14659
11904,12568
2422,15697
8471,19989
2493,18007
15263,19292
961,21855
1252,16666
701,11973
2160,21681
7789,19272
4211,15385
7442,9261
9141,21355
1912,5953
5557,13723
5388,19272
15177,17370
12513,9566
5122,13005
5319,19154
3705,21599
4431,13576
1189,4670
4523,13668
14256,20137
7236,18450
4131,21569
4071,13541
739,14181
1861,11742
14978,14898
3783,9359
13630,21942
2619,12993
2532,8795
2819,15236
8531,13582
5110,6633
11280,21475
8557,22421
21729,22007
13098,19569
5874,8063
12077,859
11289,18301
8883,16746
7893,22265
9986,19700
12863,20120
20135,15745
1761,11376
4284,8351
14248,22035
212,21045
2442,12952
1100,18786
1025,21998
11003,11432
1715,4625
21819,10449
16334,21946
11680,16954
14404,14790
9891,22382
1757,14365
4077,9813
710,1078
4302,19776
2431,5835
6940,16072
11324,17740
5318,6189
2664,6710
20550,7691
13602,16869
3935,8298
4457,9646
6619,16414
4499,11341
6213,7880
17685,20415
3706,11020
3491,16560
10662,16940
4064,11189
9807,22316
9794,21411
8907,20293
2442,14624
11905,14038
1825,17610
13133,13625
15114,18146
6959,7108
13244,13674
13908,21450
11401,13415
1870,7341
8006,13190
13509,19795
4499,5513
2159,14770
18661,19113
3607,13882
14823,20442
19545,20463
14493,16880
6342,9817
6156,5600
11359,16895
16602,17370
13269,14168
6739,8257
1271,14746
11645,18103
613,10241
10783,19776
10995,17340
14176,19857
11911,15632
8484,16195
19710,19757
8374,15329
17386,17598
6770,11357
8209,14719
14109,21569
11976,13297
11643,15976
4489,12198
15101,16337
4204,10783
4843,5975
18910,8095
11253,8477
5518,18641
6632,9471
2610,9149
2676,8883
2386,15863
1300,6285
2304,20607
6444,11273
10783,18105
6746,15998
1517,9641
13893,14819
7122,12730
15488,18512
1372,17197
1674,16136
3128,22020
8869,15052
4907,18656
10209,20992
361,16511
16526,293
11901,21212
17798,20165
5499,5086
701,21023
4876,15283
5097,14225
12367,21005
1149,10386
6012,20215
5692,15986
2931,6055
1455,12096
5562,19844
1586,17436
1727,8856
19458,19667
14248,19700
4369,13982
13439,18917
13053,13645
2651,18170
11889,14459
959,10499
1859,17883
1330,4379
8817,14795
12852,21658
12851,21764
1989,2597
10335,12361
2575,21921
5750,19285
7663,9656
2964,21443
3100,20823
8387,13351
13735,17056
4315,7261
1623,17839
14148,14485
15174,20276
4772,5943
9747,21955
1875,6168
10241,20245
2341,10707
6058,22094
15797,20862
10692,11134
15531,19500
1627,14521
17110,20442
6232,16895
1339,7509
11332,19885
5513,15531
11424,1909
7822,8351
714,14702
2812,21708
7876,17733
3476,14272
7538,6658
15925,21389
6013,7603
4084,17620
7919,18624
61,9559
3499,21729
899,19743
3370,11323
6951,10439
14109,21077
5587,22349
16361,21760
6661,7562
10648,22173
4024,14987
2309,15692
18358,21958
18039,20083
685,17659
5808,9172
15332,15772
743,5208
10104,16093
5228,5307
8020,18322
2113,10500
1181,13801
7964,16749
17451,18337
10105,2025
2610,21492
17695,18074
11332,22278
17012,17555
14616,22185
2567,8001
6781,19602
5803,16506
2202,5953
4712,13165
14168,19386
15948,11280
3935,19486
1371,14297
12586,14650
11471,14478
701,21955
19885,22357
12461,12704
12353,22057
8827,17190
173,6802
1521,20795
6804,20848
11231,14082
689,13294
11487,14650
5785,19702
262,1989
240,11158
16052,22261
5655,6490
11406,15616
7919,16105
2830,13645
4607,10020
3242,15085
10775,16813
18622,18726
19543,20443
4077,21681
8531,14791
7569,16023
16035,18503
17863,17978
6173,12288
1618,6706
8263,14497
4796,12790
2474,9988
1063,5372
11787,14497
11140,16777
4434,21325
8450,16942
19607,6895
684,19113
